darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl
كلا,eat,No,Eat,No,Eat,No.,eat,Refuse,eat
شرب,drink,Drink,To drink,Drink,to drink,Drink,drink,Drink,drink
دخل,enter,Enter,enter,Enter,enter,enter,enter,Enter,enter
خرج,go out,"""Kharj"" translates to ""went out"" in English.",To go out,Go,to go out,Go,exit,Go,go
فهم,understand,Understand,Understand,Understand,understand,Understand,understand,Understand,understand
شرح,explain,"""شرح"" بالدارجة المغربية تُترجم إلى ""explain"" في الإنجليزية.",Explain,Explain,Explain,شرح = explain,explain,كنتقل,explain
قرا,learn,Read,Read,Read,Read,read,read,Read,read
قرّا,teach,Read,Read,Read,Read,Read,read,Read,read
سمع,hear,Listen,hear,Listen,hear,to hear,hear,Listen,hear
شاف,see,See,See,See,see,See,see,See,see
شم,smell,"""Smell""",Smell,Smell,smell,Smell,smell,Smell,smell
داق,taste,Taste,Taste,Taste,taste,Taste,taste,Taste,taste
قاس,touch,Measure,Measure,Measure,Measure,Measure,measure,قياس,measure
مشا,go,Go,Go,Go,to go,Go,go,Go,go
جا,come,Come,come,Come,come,come,come,Come,come
طلع,ascend,Go out,Go out,Go out,Go out,Go,go out,Go,go out
نزل,go down,Go down.,To go down/ to get off/ to descend,Go down,to go down,Go down,descend,Go down,go down
عام,swim,Year,Year,To live,to live,to do,to live,Live,to live
غرق,drown,Drown,drown,Drown,drown,Drown,drown,Drown,drown
لبس,wear,Wear,wear,Wear,to wear,wear,wear,wear,wear
سلت,take off,I asked,I asked,To ask,Ask,Buy,ask,Buy,ask
شرا,buy,Buy,Buy,Buy,Buy,Buy,buy,Buy,buy
باع,sell,Sold,He sold,Sell,sell,sell,sell,sell,sell
تاوا,bargain,"""Tawa"" in Moroccan Arabic translates to ""come"" in English.",To fly,To come,to respond,Go,to fly,Go,wait
كتب,write,Wrote,write,Write,write,write,write,write,write
مسح,clean,Wipe,wipe,Wipe,wipe,Wipe,wipe,Delete,wipe
ضرب,hit,Hit,hit,Hit,hit,Hit,hit,Hit,hit
تسالم,greet,Hello,You are peaceful.,To greet,To surrender,To thank,to greet,Greet,to greet
عيا,fatigue,Tired,Tired,Tired,to tire,Tired,tire,Give up,tire
تسخسخ,exhaust,"""Tsakhsakh"" doesn't have a direct translation in English, but it can be roughly translated as ""to goof off"" or ""to mess around.""",To sway,To play around,Whisper,Dance,whisper,Dance,Whisper
ضحك,laugh,Laugh,Laugh,Laugh,laugh,Laugh,laugh,Laugh,laugh
جاب,bring,Bring,bring,Bring,bring,bring,bring,Bring,bring
دار,do,House,To do/To make,To live,to do,Do,do,Go,to live
