darija_ar,eng,p5_transl,eng_p5_transl
قهوة,coffee,coffee,coffee
كرسي,chair,chair,chair
طبلة,table,drum,drum
كاس,glass,cup,cup
ماء,water,water,water
هوا,air,air,air
قرعة,bottle,lottery,lottery
دار,house,home,house
بيت,room,house,house
مدرسة,school,school,school
طوموبيل,car,car,car
موتور,motorcycle,car,engine
شفار,thief,thief,thief
مولحانوت,grocery seller,Supermarket,Supermarket
مولبيسري,grocery seller,messenger,hairdresser
شجرة,tree,tree,tree
عمارة,building,building,building
بارتمة,apartment,backpack,carpet
جردة,garden,bucket,pot
نعاس,sleep,sleepiness,drowsiness
ولد,boy,boy,boy
بنت,girl,girl,girl
بيكالا,bicycle,bicycle,backpack
طوبيس,bus,bus,bus
شارع,avenue,street,street
درب,alley,path,path
حومة,neighborhood,neighborhood,meat
دروج,stairs,shoes,lessons
نخلة,date palm,palm,palm
لغة,language,language,language
عام,year,year,year
فخور,proud,proud,proud
ليوم,today,today,today
لبارح,yesterday,yesterday,yesterday
غدا,tomorrow,tomorrow,tomorrow
ناموسية,bed,mosquito net,mosquito net
صهد,heat,friend,hunting
عادة,habit,habit,habit
انتخابات,elections,elections,elections
برلمان,parliament,parliament,parliament
ملك,king,king,king
وزير,minister,minister,minister
برلماني,deputy,politician,politician
ڭدّ,equal,wall,wall
كتيشاف,discovery,Spoon,chair
شي حاجة,something,something,thing
شركة,company,company,company
مقاولة,enterprise,contractor,contractor
شارك,contribute,friend,street
صاحب,friend,friend,friend
عشير,best friend,family,tribe
صاحبي,my friend,my friend,friend
عشيري,my best friend,neighbor,tribe
سوق,market,market,market
مارشي,market,market,market
فراسي,I know,my head,horse
فراسك,you know,Your head,headphones
تاع,of,of,owner
ديال,of,of,belonging
خلاص,payment,enough,enough
نهار,day,day,day
حرب,war,war,war
حبس,prison,prison,prison
حبّاس,prisoner,lock,prison
جريمة,crime,crime,crime
فردي,gun,unique,individual
مكحلة,rifle,eyeliner,eyeliner
قرطاس,gun bullets,stationery,stationery
موس,knife,banana,banana
معيلقة,spoon,spoon,spoon
عاشقة,spoon,lover,lover
فرشيطة,fork,slipper,Slipper
بيرو,desk,hat,hat
شرجم,window,pencil,pencil
جار,neighbor,neighbor,neighbor
جيران,neighbors,neighbors,neighbors
فياق,wake up,shoes,mirror
صداع,noise,headache,headache
تنفس,breathing,breathe,breath
عومان,swimming,sandals,shoes
حركة,movement,movement,movement
وقوف,stop,stop,parking
تحميمة,shower,shower,shower
حمّام,bathroom,bathroom,bathroom
بيت نعاس,bedroom,sleeping house,blanket
كوزينة,kitchen,kitchen,kitchen
طواليت,toilet,mirror,toilet
تريكو,sweater,knitwear,sweater
نضاضر,glasses,mirror,glasses
عملية,operation,operation,surgery
عمليات,operations,operations,surgery
طيبيبت,Striolated bunting,doctor,doctor
صحافة,journalism,journalism,journalism
مصدر,reference,source,source
منبع,source,source,source
عداوة,hate,enmity,enmity
عنف,violence,violence,violence
مملكة,kingdom,kingdom,kingdom
جمهورية,republic,republic,republic
جمهور,public,audience,audience
مواطن,citizen,citizen,citizen
تسركيلة,a walk,collection,menu
مستقل,independent,independent,independent
عسكر,army,military,soldier
عربية,arabic,car,car
نقاش,dialog,discussion,discussion
مزيان,well,good,beautiful
طريق,road,road,road
مصالحة,conciliation,reconciliation,reconciliation
رفض,rejection,refusal,refusal
خبرة,expertise,experience,experience
لجنة,committee,committee,committee
دولة,state,country,country
حقوق,rights,rights,rights
حق,right,right,right
قوة,power,strength,strength
طبسيل,plate,Slippers,whisk
الماعن,dishes,The snake,cattle
كليم,air conditioner,carpet,rug
مشكل,problem,problem,problem
تساليم,handshake,greetings,greetings
عافية,fire,health,wellness
لهجة,accent,accent,accent
كسيدة,accident,shoes,chair
طيارة,airplane,airplane,airplane
فضائي,alien,alien,alien
مغامرة,adventure,adventure,adventure
نصيحة,advice,advice,advice
أثر,effect,impact,effect
عمر,age,life,life
لانطير,antenna,fly,airplane
فاس,ax,pot,pot
إحساس,feeling,feeling,feeling
نفاخة,balloon,bubble,pump
تصرّف,behavior,behavior,behavior
صونيط,bell,sneaker,sandals
أساسي,basic,essential,essential
أحسن,best,Great,best
ولادة,birth,birth,birth
موت,death,death,death
وفاة,death,death,death
عيد ميلاد,birthday,birthday,birthday
عيد,feast,celebration,celebration
حفلة,party,party,party
عضة,bite,bite,bite
ملايا,blanket,blanket,blanket
