darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
كلا,eat,Eat,Eat,eat,eat,refuse,eat
شرب,drink,Drink,drink,drink,to drink,drink,drink
دخل,enter,Enter,enter,enter,enter,enter,enter
خرج,go out,Go out,go,go out,go out,go out,exit
فهم,understand,Understand,understand,understand,understand,understand,understand
شرح,explain,Explain,Explain,explain,explain,explain,explain
قرا,learn,Read,Read,read,read,read,read
قرّا,teach,Read,Read,read,read,read,read
سمع,hear,Listen,hear,listen,hear,hear,hear
شاف,see,See,see,see,see,see,see
شم,smell,Smell,smell,smell,smell,smell,smell
داق,taste,Call,Taste,taste,taste,taste,taste
قاس,touch,Measure,Measure,measure,measure,measure,measure
مشا,go,Go,Go,go,go,go,go
جا,come,Come,come,come,come,come,come
طلع,ascend,Go out,Go,go out,go out,go out,go out
نزل,go down,Go down,To go down,go down,go down,go down,go down
عام,swim,Spend,to bring,live,say,announce,announce
غرق,drown,Drown,drown,drown,drown,drown,drown
لبس,wear,Wearing,wear,wear,wear,wear,wear
سلت,take off,Buy,Ask,buy,ask,throw,ask
شرا,buy,Buy,Buy,buy,buy,buy,buy
باع,sell,Sell,sell,sell,sell,sell,sell
تاوا,bargain,Laughing,to come,eat,cook,wait,iron
كتب,write,Write,write,write,write,write,write
مسح,clean,Wipe,wipe,wipe,wipe,wipe,wipe
ضرب,hit,Hit,hit,hit,hit,hit,hit
تسالم,greet,Greet,to surrender,Thank you,greet,greet,surrender
عيا,fatigue,Tired,to tire,sleep,try,fall,try
تسخسخ,exhaust,Laugh,whisper,chatter,whisper,whisper,whisper
ضحك,laugh,Laugh,laugh,laugh,laugh,laugh,laugh
جاب,bring,Bring,bring,bring,bring,bring,bring
دار,do,Do,to do,do,do,do,run
ڭال,say,Laugh,go,go,go,say,go
قال,say,say,say,say,say,say,say
عندو,have,Have.,have,have,have,have,have
شدّ,get,Pull,pull,pull,pull,pull,pull
فكّر,think,Think,think,think,think,think,think
با,want,Go,Come,come,come,come,come
لقا,find,Find,find,find,find,find,meet
عطا,give,Give,Give,give,give,give,give
خدم,work,Work,Work,work,work,work,work
عيط,call,Shout,Call,shout,call,shout,shout
خاسّ,need,Lose,lose,lose,lose,lose,lose
حسّ,feel,Feel,Feel,feel,feel,feel,feel
ولّا,become,Chill,Leave,sleep,leave,leave,leave
حطّ,put,Put,Put,put,put,put,put
عنا,mean,Have,Have,have,have,have,have
بدا,begin,Start,start,start,start,start,start
خسّ,need,Lose,Lose,lose,lose,lose,lose
عجب,like,Like,like,like,like,like,like
عاون,help,Help,Help,help,help,help,help
عتق,help,Freeing,Free,release,free,free,free
وجّد,prepare,Find,find,find,find,find,find
أمن,believe,Secure,Believe,eat,secure,secure,secure
حاول,try,Try,try,try,try,try,try
جرّب,try,Try,Try,try,try,try,try
سوّل,ask,To tempt,Advise,suggest,advise,tempt,advise
تفكّر,remember,Think,think,think,think,think,think
مشا,leave,Go,Go,go,go,go,go
بيّن,show,Show,show,explain,show,explain,explain
لعب,play,Play,play,play,play,play,play
جرا,run,Run,to run,run,run,run,run
جرّا,run,Run,run,run,run,run,run
قرا,read,Read,Read,read,read,read,read
بدا,start,Start,start,start,start,start,start
سالا,finish,Ask,ask,ask,ask,ask,ask
قطّع,cut,Cut,Cut,cut,cut,cut,cut
هضر,talk,Speak,speak,speak,speak,speak,speak
شكر,thank,Thank,thank,thank,thank,thank,thank
بدّل,change,Change,change,change,change,change,change
كمّل,continue,كمّل - Complete,Complete,continue,complete,continue,complete
فتارض,suppose,Accept,Accept,agree,agree,agree,agree
تمنّا,wish,Wish,wish,wish,wish,wish,wish
تبع,follow,Follow,Follow,follow,follow,follow,follow
قبل,accept,Kiss,accept,kiss,kiss,before,kiss
رفض,reject,Refuse,refuse,refuse,refuse,reject,refuse
وقع,happen,Fall,fall,fall,fall,fall,fall
ڭلس,sit down,Laugh,Eat,eat,eat,chat,swallow
ربح,win,Win,win,win,win,win,win
زاد,add,Increase,increase,increase,increase,increase,increase
تعلّم,learn,Learn,learn,learn,learn,learn,learn
تسنّا,wait,Wait,Wait,wait,wait,wait,wait
سيفط,send,Laugh,Jump,eat,wake,fall,fall
حلّ,open,Solve,Solve,solve,solve,solve,solve
بنا,build,Build,build,build,build,build,build
ختار,choose,Choose,Choose,choose,choose,choose,choose
وصل,reach,Arrive,arrive,arrive,arrive,arrive,arrive
قرّر,decide,Decide,decide,decide,decide,decide,decide
نشط,enjoy,Activate,Activate,energize,energize,activate,activate
تفرّج,watch,Watch,Watch,watch,watch,watch,watch
خسر,lose,Lose,lose,lose,lose,lose,lose
تمشّا,walk,Walk,walk,walk,walk,walk,walk
كبّر,raise,Grow,grow,exaggerate,grow,celebrate,magnify
تخيّل,imagine,Imagine,imagine,imagine,imagine,imagine,imagine
سبّب,cause,Cause,cause,cause,cause,cause,cause
هرّس,break,Mash,Grind,mash,grind,mash,grind
سمع,listen,Listen,hear,listen,hear,hear,hear
كبر,grow,Grow,grow,grow,grow,grow up,grow
مات,die,Die,die,die,die,die,die
توفّا,die,Die,die,sleep,die,pass away,die
زار,visit,Visit,visit,visit,visit,visit,visit
شجّع,encourage,Encourage,Encourage,encourage,encourage,cheer,encourage
حاما,protect,Cooking,Protect,cook,protect,protect,protect
نشر,spread,Publish,publish,publish,publish,publish,publish
قتل,kill,Kill,kill,kill,kill,kill,kill
صاڭ,drive,Laugh,Stand,drive,swim,drive,swim
كدب,lie,Lie,lie,lie,lie,lie,lie
تقاجح,argue,Argue,argue,argue,argue,argue,argue
حيّد,remove,Avoid,Remove,move,remove,remove,remove
دابز,fight,Dance,Jump,eat,clean,dance,clean
عمّر,fill,Live,Build,build,build,build,build
سافر,travel,Travel,travel,travel,travel,travel,travel
حضر,attend,Attend,Attend,attend,attend,attend,attend
قسّح,hurt,Laugh,Cut,sweep,pour,delete,mix
عانا,suffer,Suffer,suffer,suffer,suffer,suffer,suffer
زڭل,miss,Laugh,Play,eat,play,stumble,argue
عبّر,express,Express,Express,express,express,express,express
ركّز,concentrate,Focus,Focus,focus,focus,focus,focus
لاح,throw,To walk,See,see,see,shine,shine
صاوب,prepare,Work,Fix,work,cook,fix,fix
قرا,study,Read,Read,read,read,read,read
دفع,push,Pay,pay,pay,pay,pay,pay
ورّك,press,Dance,Show,throw,sit,leave,turn around
وصل,arrive,Arrive,arrive,arrive,arrive,arrive,arrive
صونا,ring,Listen,Hear,listen,listen,protect,listen
جمع,collect,Gather,to collect,gather,collect,collect,gather
هرب,escape,Escape,escape,escape,escape,escape,escape
رحّب,welcome,Welcome,Welcome,welcome,welcome,welcome,welcome
عوّل,rely,Trust,Trust,depend,rely,rely,rely
تاق,trust,Tag,To cut,miss,miss,tag,choke
عاود,repeat,Repeat,Repeat,repeat,repeat,repeat,repeat
خطّط,plan,Plan,Plan,plan,plan,plan,plan
فرش,reveal,Sweep,spread,sweep,spread,sweep,spread
أكّد,confirm,Confirm,confirm,confirm,confirm,confirm,confirm
كره,hate,Hate,hate,hate,hate,hate,hate
تجوج,marry,Get married,marry,drive,search,get married,drive
قسم,split,divide,divide,swear,divide,swear,swear
تبنّا,adopt,Adopt,Adopt,adopt,adopt,adopt,adopt
تجاهل,ignore,Ignore,Ignore,ignore,ignore,ignore,ignore
عرّف,define,Define,define,define,define,explain,define
قدّم,introduce,Present,present,present,present,present,present
ترينا,exercise,Show us,Show,show,show,show,show
برهن,demonstrate,Prove,prove,prove,prove,prove,prove
قنع,persuade,Convince,convince,convince,convince,convince,convince
قلّع,guess,Dig,Pull,uproot,pull,start,uproot
صوّت,vote,Vote,Vote,vote,vote,vote,vote
نكر,deny,Sleep,Deny,sleep,sleep,deny,deny
خبّا,hide,Hide,Hide,hide,hide,hide,hide
نجح,succeed,Succeed,succeed,succeed,succeed,succeed,succeed
طلب,demand,Ask,ask,ask,ask,request,ask
عتارف,recognize,Confess,admit,confess,confess,confess,confess
حسب,count,See,Calculate,calculate,calculate,depend,consider
نتاما,belong,Laughing,Expect,sleep,sleep,sleep,sleep
شكّ,doubt,Thank.,Thank,doubt,doubt,doubt,doubt
غنّا,sing,Sing,sing,sing,sing,sing,sing
نوا,intent,sleep,sleep,sleep,sleep,sleep,sleep
برّر,justify,Justify,Justify,justify,justify,justify,justify
دافع,defend,Pay,defend,defend,pay,defend,defend
زعم,dare,Claim,claim,claim,claim,claim,claim
تساراح,rest,To go out,Run,walk,walk,relax,leave
حكم,judge,Judge,rule,judge,judge,judge,judge
شارك,participate,Participate,Participate,participate,participate,participate,participate
غسل,wash,Wash,wash,wash,wash,wash,wash
لاحض,observe,Notice,Notice,notice,notice,notice,notice
خدّم,employ,Work,Work,work,work,serve,serve
جمع,combine,Gather,to collect,gather,collect,collect,gather
لحّ,insist,Laugh,Rub,eat,eat,taste,boil
تلاح,jump,Read,Read,watch,understand,disappear,repair
طيّب,cook,To be kind.,To cook,alright,cook,alright,agree
بكا,cry,Cry,cry,cry,cry,cry,cry
نعس,sleep,Sleep,sleep,sleep,sleep,feel sleepy,sleep
فاق,wake up,Wake,surpass,wake,wake,wake up,wake up
جمع,gather,Gather,to gather,gather,collect,collect,gather
نساحب,withdraw,Withdraw,drag,drive,drag,withdraw,drag
حلّ,resolve,Solve,Solve,solve,solve,solve,solve
خبر,inform,Tell,to inform,tell,tell,tell,inform
ستلزم,imply,Require,require,need,require,require,require
تسلّف,borrow,Borrow,borrow,borrow,borrow,borrow,borrow
خاطر,risk,Write,Want,write,want,want,risk
سمح,permit,Forgive,Allow,forgive,permit,allow,allow
سامح,forgive,Forgive,Forgive,forgive,forgive,forgive,forgive
قتارح,propose,Propose,Decide,suggest,cut,suggest,leave
حتافل,celebrate,Celebrate,Travel,celebrate,travel,celebrate,celebrate
ضيّع,waste,Waste,lose,lose,lose,lose,lose
غبر,disappear,Leave,Dig,cross,sweep,dig,bury
توقّع,predict,Expect,expect,expect,expect,expect,expect
نڭر,complain,Bite,See,sleep,see,bite,sleep
