darija_ar,equivalent translation,literal translation,prompt translation,similarity
"أش خاصك يا العريان, خاصني خاتم الذهب يا مولاي.",Putting the cart before the horse.,"You! The one naked, what do you need? I need a ring made of gold my lord.","What do you want, you naked one, give me the gold ring, sir.",0.9396321773529053
اللي ما عندو فلوس كلامو مسوس.,Money talks.,"If one doesn't have money, their speech is tasteless.","Whoever doesn't have money, their words are considered insignificant.",0.7669569253921509
امدح صاحبك مع الناس ولومو الراس فالراس.,"Praise in public, criticize in private.",Say nice things on your friend around others; chastise him face to face.,Praise your friend in front of people and blame him in private.,0.8425660729408264
دير عين شافت وعين ماشافت.,Turning the blind eye.,One eye saw and the other eye did not see.,Put an eye that sees and an eye that doesn't see.,0.8161782026290894
اللي بغي لعسل يصبر لقريص النحل.,"No pain, no gain.","If one wants honey, they must endure the sting of bees.",Whoever wants honey should be patient for the beeswax.,0.8711893558502197
الگنازة كبيرة والميت فار.,Making a mountain out of a molehill.,A grand funeral for a dead mouse.,The funeral is big and the deceased is a mouse.,0.8468318581581116
اللي تربي على شي حاجة كبر عليها.,Old habits die hard.,If you are raised with something you grow old with it.,Whoever is raised on something will grow accustomed to it.,0.6992908716201782
لي حفر شي حفرة كيطيح فيها.,They dug their own grave.,One who dugs a hole fells into it.,Who digs a hole will fall into it.,0.8417866230010986
اربط حمارك مع الحمير، يتعلم الشيق والنهيق وخرجان الطريق.,You're known by the company you keep.,"Tie your donkey with other donkeys, it will only learn to bray, neigh and from the path he'll stray.","Tie your donkey with the other donkeys, it will learn the braying and neighing and get used to the road.",0.8114896416664124
الفم المسدود ما يدخلو دبان.,Silence is golden.,Flies do not enter a closed mouth.,A closed mouth doesn't let flies in.,0.7257977724075317
"طلع تاكول الكرموس, نزل شكون قالها ليك",Caught between a rock and a hard place.,"Come upstairs and have some figs, get downstairs who told you so!","Go up and eat the figs, come down who told you that.",0.8064022660255432
ماديرش يدك في غيران باش مايعضوكش الحنوشة,Practice common sense!,Don't stick your hand in holes in the ground so that you don't get bitten by snakes.,Don't put your hand in the fire so it doesn't burn you.,0.8650668859481812
ماديرش راسك في نخالة باش ماينقبوكش الدجاج,Practice common sense!,Don't put your face in bran if you don't want to get pecked by the hens.,Don't put your head in the chaff so the chickens don't peck you.,0.9049745798110962
دابزو يا الفيران على خميرة الجيران,Interfering in someone else's quarrel is like kicking a hornet's nest.,The mice are fighting over the neighbor's yeast.,The dogs are barking at the neighbors' dough.,0.6540650129318237
اللي قال العصيدة باردة، ادير يدو فيها,Not seeing the forest for the trees.,"If one says the porridge is cold, put his hand in it.","Who said the porridge is cold, put their hand in it.",0.9311807751655579
شحال من الفيل قرصاتوا عقرب,Don't judge a book by its cover.,So many elephants have been stung by scorpions.,How many times does an elephant get stung by a scorpion?,0.8199169635772705
الدنيا دراعة كل واحد كيلبسها ساعة,Life is short.,The world is a shirt everyone wears for an hour.,"The world is a sleeve, everyone wears it for a while.",0.6695101261138916
الزين إلا زين الفعال,"All beauty, no brains.",The beauty is only in the actions.,The good is only in doing good.,0.8021025061607361
الحمار مخبي ووذنيه برّا,You can't hide from your problems.,The donkey is hiding but his ears are sticking out in plain sight.,The donkey is hiding and his ears are outside.,0.8094427585601807
الفقيه دحمان، قرا البرة سبع ايام، وقاليهم الخط عيان.,Refusing to admit fault for one's shortcomings.,The jurist Dahman read the letter for seven days and declared the handwriting was poor.,"The wise man, Dhahman, read the letter for seven days, and told them the handwriting is clear.",0.6662271022796631
