Human,GPT
eat,Eat
drink,To scratch
enter,Enter
go out,exit
understand,understand
explain,To search
learn,Read
teach,Read
hear,hear
see,to see
smell,to drink
taste,Hit
touch,Eat
go,Go
come,come
ascend,To come
go down,To descend
swim,He/She/It is.
drown,To dig
wear,To play
take off,Hello
buy,buy
sell,sell
bargain,Fly
write,write
clean,Eat
hit,hit
salute,to ask
fatigue,Come
exhaust,Laugh
laugh,Laugh
anger,to write
bring,bring
was,Was
do,hit
say,say
say,Say
have,Have
get,Tell
think,Think
want,come
find,Found
give,Fly
work,Work
call,See
need,Need
feel,Feel
become,To come
put,To take
mean,We.
begin,start
should,Cut
find,Found
like,Like
tell,know
help,Help
help,To cover
prepare,find
believe,Sleep
try,Try
try,Bring
ask,ask
remember,Think
leave,walk
show,Sell
play,Play
run,Run
run,Run
read,Read
start,start
finish,pray
cut,To carry
talk,Study
thank,To check
change,change
continue,Finish
suppose,To break fast
wish,Wish
follow,To sell
accept,Accept
reject,To remember
happen,Come
sit down,wear
win,sell
add,increase
learn,Sleep
wait,Wait
send,Clean
sell,sell
buy,buy
open,Mix
build,build
choose,choose
reach,arrive
decide,Read
enjoy,Wait
watch,To escape
lose,lose
walk,To taste
raise,Break
imagine,Imagine
cause,Love
break,Run
listen,Listen
grow,grow
die,die
die,To dress
visit,come
encourage,To write
protect,Burn
spread,Sleep
kill,To eat
drive,to climb
lie,hide
argue,Sleep
remove,To guide
fight,Grab
fill,Visit
travel,travel
attend,Study
hurt,Write
suffer,I have
miss,To arrive
discover,Find
discover,To arrive
express,Pass
concentrate,Dance
throw,To eat
prepare,To do
study,Read
push,Push
press,To throw
arrive,Arrive
ring,Sleep
collect,Meet
escape,Run
welcome,Play
rely,Arrive
trust,Fold
repeat,Return
plan,Draw
reveal,Escape
confirm,To cut
hate,Create
marry,Wake up
split,Divide
adopt,We cooked
ignore,Study
define,Know
introduce,Sleep
exercise,Train
demonstrate,To burn
persuade,Sleep
guess,Show
vote,To clean
deny,Sleep
hide,Lie
succeed,to eat
demand,Cook
recognize,Know
count,Think
belong,Sleep
doubt,Look
sing,sing
intent,sleep
justify,To sweep
defend,Push
dare,Play
rest,To wake up
judge,Stand up
participate,grind
wash,wash
observe,To take
employ,Work
combine,Eat
insist,Eat
jump,to come
cook,Okay
cry,cry
sleep,sleep
wake up,Understand
gather,to gather
withdraw,to love
resolve,Eat
inform,know
imply,Need
borrow,Forgive
question,Ask
risk,Remember
permit,to listen
forgive,Listen
propose,To write
celebrate,Whistle
waste,Push
disappear,to inform
predict,Fly
complain,Sleep
catch,Write
catch,Want
get up,Call
pass,Run
stop,Love
note,Want
used to,To play
mix,Mix
mislead,Call
burn,Burn
burn,To migrate
exploit,work
smoke,Like
warn,Study
kiss,look
announce,Show
evaluate,Choose
breathe,Breathe
exceed,to do
approve,Hunting
occupy,To say
free,To burn
smile,Smile
dig,Escape
respect,To protect
threaten,Push
cancel,To say
store,Hide
organize,Sleep
shine,Sleep
swear,Dream
dream,Dream
absorb,Run
block,block
anticipate,push
accuse,Work
shout,wash
affect,Draw
arrange,To cook
arrest,Succeed
bark,To swim
betray,Eat
bet,To put
differ,Differentiate
keep,Succeed
fly,Come
appear,build
pull,run
push,Push
lift,To eat
return,to wash
fall,Come
know,Know
forget,Forget
describe,Describe
translate,Translate
promise,Promise
search,Play
love,Love
live,Live
live,live
pay,Finish
close,To pour
stand up,Invite
use,Use
receive,Wait
fail,Open
insult,swim
complain,Eat
expose,Open
apologize,Can
hug,Sleep
regret,Sleep
get used,Repeat
sneeze,Give
cough,Sit
postpone,Cook
cooperate,Help
exchange,Exchange
boycott,To fold
volunteer,Cook
dupe,Say
avoid,To whisper
neglect,Do
meet,Find
spy,Kiss
take revenge,Sleep
bury,Turn
defeat,To take
be,Was
would,Want
can,Can
can,to cut
may,possible
make,hit
must,cut
take,Take
look,see
set,Wait
let,Leave
provide,Give
shall,Cut
seem,Build
include,Dream
move,Move
turn,To give
consider,Fly
allow,Leave
hope,Hope
produce,sleep
stay,became
hold,Cut
expect,Drive
ensure,Sleep
carry,Want
offer,Run
support,Stay
speak,Stay
speak,Treat
lead,Sit
remain,became
stand,Stand
stand,To cover
suggest,To pull
develop,Fly
sit,Slide
create,sit
create,To do
agree,Rest
apply,Cook
form,Stand
increase,increase
voice,Play
spend,Invite
join,To meet
reduce,Sleep
save,I want
require,Study
achieve,To eat
prevent,Love
deal,Work
face,To find
cover,To cover
improve,Fly
tend,Money
draw,Draw
act,Move
pick,Leave
pick,choose
cost,Turn
cost,To sleep
prove,To break
occur,Arrive
discuss,Dance
maintain,before
end,Pray
end,finish
exist,there is
seek,Sit
check,Mix
serve,"I understand that ""nfe3"" translates to ""I understand"" in English."
share,Listen
share,share
establish,Sleep
establish,Listen
control,Speak
answer,Answer
identify,To bury
care,He gave
enable,Possible
claim,Ask
obtain,lie
represent,To fold
contain,to invite
beat,Knead
worry,Listen
bear,Work
shut,block
wonder,Ask
fit,to calculate
regard,Talk
place,Put
involve,Dream
contact,Ask
assume,To eat
indicate,Pickle
operate,work
manage,Close
cope,Learn
determine,To bury
reflect,Break
refer,Pickle
gain,sell
examine,Escape
prefer,Take off
admit,Know
respond,return
respond,answer
depend,To listen
survive,Sleep
notice,To take
result,Wait
replace,change
complete,finish
rise,relax
present,Support
arise,sleep
point,Pickle
promote,Drive
promote,Arrive
perform,Sit
extend,to extend
mention,Pickle
vary,differ
benefit,pass
treat,To walk
hang,To arrive
drop,Open
report,Call
cast,Pourquoi
test,negotiate
secure,Trust
last,Fly
match,Find
assess,Can
contribute,Understand
supply,Extend
state,Play
appreciate,Can
relate,Cook
overcome,Mix
rid,Eat
attempt,Try
retain,Succeed
handle,Change
attract,Argue
assist,help
assist,Help
influence,Write
mark,To bury
recall,Think
sign,make
fear,fear
stick,To buy
settle,To do
settle,foot
compare,Read
account,Think
investigate,To eat
clear,Sleep
record,Take a picture
record,To wash
explore,hide
blame,To eat
cross,Sell
realize,Eat
focus,Sit
deliver,connect
proceed,buy
bother,Play
bother,Spend
refuse,to learn
force,To iron
reckon,Wait
emerge,Build
intend,Stay
advise,Sleep
acquire,Work
recover,to study
generate,sleep
distinguish,Differentiate
suspect,To write
earn,lie
finance,Extend
destroy,Stand
pursue,Cook
comment,To arrive
satisfy,Agree
compete,Breathe
resist,Invite
suit,Curse
address,write
solve,Mix
alter,change
impose,To iron
display,Study
appeal,Dance
release,Sleep
sort,Break
sort,Cook
select,Choose
measure,Pass
recommend,wash
order,Ask
order,Moon
transfer,Study
attack,Eat
expand,Drive
roll,Drive
burst,explode
undertake,To cook
relax,to write
behave,Lock
remind,Remember
remind,think
review,return
approach,I run
restore,to return
issue,To clean
ride,To lean
constitute,Shake
switch,Turn
train,Hit
invest,to wait
step,Make
limit,Take
illustrate,To promise
own,to possess
tackle,Eat
challenge,Cook
view,see
possess,To own
communicate,Take a picture
climb,Buy
separate,Chose
preserve,Protect
implement,to sleep
shift,Arrive
acknowledge,I arrive
conclude,wait
shoot,Throw
comply,Wait
enhance,Eat
monitor,To play
monitor,before
purchase,Buy
charge,Return
research,put
aim,Want
accommodate,Understand
dance,To write
wake,Understand
pray,Pray
telephone,Turn
score,to walk
slip,To arrive
commit,Write
detect,Cook
exclude,Watch
excuse,To know
interpret,to break
publish,Sleep
link,To find
negotiate,Open
analyze,Reveal
name,Hear
stretch,Argue
upset,Speak
qualify,Arrive
damage,lose
launch,Sleep
launch,start
paint,To swim
specify,To bury
grant,Forget
lend,travel
construct,Build
react,Do
deserve,Understand
deserve,work
head,Study
direct,Come
land,Write
conduct,Sit
sustain,Write
submit,Clean
consist,Strengthen
blow,Clean
guide,Watched
convince,To find
practice,Hit
strengthen,Show
knock,Hit
invite,Study
abandon,Play
reply,answer
shake,Move
fix,Forgive
pretend,To study
consult,choose
divide,Listen
engage,"I'm sorry, but ""nkhareT"" is not a verb in Moroccan Darija. Could you please provide another word for translation?"
fulfill,To eat
rule,Stand
process,To return
fetch,bring
convey,Study
thrust,Push
incorporate,to walk
restrict,Protect
eliminate,watch
eliminate,Leave
eliminate,Read
convert,Arrive
retire,Sit
adjust,Hit
adjust,Change
ease,Ask
pour,flip
pour,Pour.
knit,forget
back,Stay
trace,To search
register,register
calculate,Think
stimulate,Want
print,Cook
print,Print
stress,to tweet
appoint,Help
interfere,Play
object,Wait
boost,Show
boost,Study
facilitate,to travel
facilitate,Ask
lack,Need
cease,Love
enforce,to clean
adapt,Learn
tie,Sit
quote,Sit
dominate,To watch
pop,Open
please,Like
design,Listen
intervene,Play
yield,To fold
resign,work
spell,Come
stir,Move
spare,Cut
estimate,Can
kick,Hit
kick,Eat
list,Counted
dress,wear
declare,To bring
declare,Explain
assure,Push
derive,Understand
access,Enter
delay,To cook
clarify,To promise
copy,Study
copy,forget
favor,Cancel
hand,Extend
capture,Write
reinforce,Like
transform,Arrive
perceive,understand
function,work
quit,to prepare
accompany,To lift
fund,Explain
pack,Sleep
correct,To swim
sail,I swim
compensate,Show
steal,buy
steal,drive
undermine,Sit
range,Argue
oppose,Show
locate,To bury
hurry,hit
broadcast,Sleep
sue,Sit
bid,to walk
light,Turn
slow,Cook
concern,Stand
dismiss,To learn
highlight,Sit
repair,Forgive
conform,Tired
attach,Tie
rush,Hit
sink,To scream
grab,Wait
calm,Eat
protest,Clean
balance,to weigh
beg,Ask
install,Sit
advance,Fly
fire,To sell
aid,Help
flow,To push
drag,bring
correspond,Rest
pose,Eat
admire,Like
relieve,Lighten
reverse,Break
combat,Grab
integrate,Regret
disagree,Don't worry
connect,to ask
update,Want
modify,change
opt,Choose
command,Order
obey,falling
extract,exit
counter,To play
resume,Understand
grasp,tell
grasp,Understand
swing,To scream
render,Greet
speed,Hit
confront,to find
ban,I hate
wipe,wash
double,Turn
comprise,Mix
witness,I want
plant,Sink
assert,need
disclose,Cook
squeeze,To watch
squeeze,Run
bind,To tie
harm,Pour
harm,Return
encounter,Find
request,Ask
struggle,Answer
hire,Work
conceal,lie
